"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Dar es Salaam (Magomeni)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1986,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar es Salaam (Magomeni)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar-es-Salaam (Kasorobo-Temeke)",1999,TRUE,412,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar-es-Salaam (Kasorobo-Temeke)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar-es-Salaam (Kasorobo-Temeke)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar-es-Salaam (Kasorobo-Temeke)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Dar-es-Salaam (Kigamboni-Temeke)",1999,TRUE,455,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Iringa (Mafinga)",1991,TRUE,200,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Iringa (Mafinga)",1992,TRUE,200,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Iringa (Mafinga)",1999,TRUE,287,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kagera (Bukoba Town)",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kagera (Bukoba Town)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kagera (Bukoba Town)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kagera (Bukoba Town)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kagera (Bukoba Town)",1999,TRUE,287,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kagera (Bukoba Town)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kagera (Bukoba Town)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kilimanjaro (Umbwe)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kilimanjaro (Umbwe)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kilimanjaro (Umbwe)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kilimanjaro (Umbwe)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kilimanjaro (Umbwe)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Kilimanjaro (Umbwe)",1999,TRUE,240,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mara (Nyasho)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mara (Nyasho)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mara (Nyasho)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mara (Nyasho)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Chimala)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Isoko)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Itete)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kiwanjampaka)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Kyela)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mbozi)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mbozi)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mbozi)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mbozi)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Meta)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanbani)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanjelwa)",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanjelwa)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanjelwa)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanjelwa)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya (Mwanjelwa)",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya(Ruanda)",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya(Ruanda)",1998,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya(Ruanda)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Mbeya(Ruanda)",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Morogoro (Morogoro)",1999,TRUE,490,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Morogoro (Turiani)",1999,TRUE,398,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Musoma regional hospital (Mara)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Musoma regional hospital (Mara)",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
"Musoma regional hospital (Mara)",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TZA",0,0,"TZA",NA,NA,NA,NA,NA
